sentence,class
If George lives in Ballarpur then George lives in India or If George lives in Maharashtra then George lives in India,5
If George lives in Ballarpur then George lives in Asia or If George lives in Maharashtra then George lives in Asia,5
If George lives in Banda Maharashtra then George lives in Maharashtra,1
If George lives in Banda Maharashtra then George lives in India,1
If George lives in Banda Maharashtra then George lives in Asia,1
If George lives in Maharashtra then George lives in India,1
If George lives in Maharashtra then George lives in Asia,1
If George lives in India then George lives in Asia,1
If George lives in Banda Maharashtra then George lives in Maharashtra and If George lives in Banda Maharashtra then George lives in India,2
If George lives in Banda Maharashtra then George lives in Maharashtra or If George lives in Banda Maharashtra then George lives in India,3
If George lives in Banda Maharashtra then George lives in India and If George lives in Maharashtra then George lives in India,4
If George lives in Banda Maharashtra then George lives in Asia and If George lives in Maharashtra then George lives in Asia,4
If George lives in Banda Maharashtra then George lives in India or If George lives in Maharashtra then George lives in India,5
If George lives in Banda Maharashtra then George lives in Asia or If George lives in Maharashtra then George lives in Asia,5
If Paula lives in Bandra then Paula lives in Maharashtra,1
If Paula lives in Bandra then Paula lives in India,1
If Paula lives in Bandra then Paula lives in Asia,1
If Paula lives in Maharashtra then Paula lives in India,1
If Paula lives in Maharashtra then Paula lives in Asia,1
If Paula lives in India then Paula lives in Asia,1
If Paula lives in Bandra then Paula lives in Maharashtra and If Paula lives in Bandra then Paula lives in India,2
If Paula lives in Bandra then Paula lives in Maharashtra or If Paula lives in Bandra then Paula lives in India,3
If Paula lives in Bandra then Paula lives in India and If Paula lives in Maharashtra then Paula lives in India,4
If Paula lives in Bandra then Paula lives in Asia and If Paula lives in Maharashtra then Paula lives in Asia,4
If Paula lives in Bandra then Paula lives in India or If Paula lives in Maharashtra then Paula lives in India,5
If Paula lives in Bandra then Paula lives in Asia or If Paula lives in Maharashtra then Paula lives in Asia,5
If Yara lives in Baner then Yara lives in Maharashtra,1
If Yara lives in Baner then Yara lives in India,1
If Yara lives in Baner then Yara lives in Asia,1
If Yara lives in Maharashtra then Yara lives in India,1
If Yara lives in Maharashtra then Yara lives in Asia,1
If Yara lives in India then Yara lives in Asia,1
If Yara lives in Baner then Yara lives in Maharashtra and If Yara lives in Baner then Yara lives in India,2
If Yara lives in Baner then Yara lives in Maharashtra or If Yara lives in Baner then Yara lives in India,3
If Yara lives in Baner then Yara lives in India and If Yara lives in Maharashtra then Yara lives in India,4
If Yara lives in Baner then Yara lives in Asia and If Yara lives in Maharashtra then Yara lives in Asia,4
If Yara lives in Baner then Yara lives in India or If Yara lives in Maharashtra then Yara lives in India,5
If Yara lives in Baner then Yara lives in Asia or If Yara lives in Maharashtra then Yara lives in Asia,5
If Paula lives in Bankot then Paula lives in Maharashtra,1
If Paula lives in Bankot then Paula lives in India,1
If Paula lives in Bankot then Paula lives in Asia,1
If Paula lives in Maharashtra then Paula lives in India,1
If Paula lives in Maharashtra then Paula lives in Asia,1
If Paula lives in India then Paula lives in Asia,1
If Paula lives in Bankot then Paula lives in Maharashtra and If Paula lives in Bankot then Paula lives in India,2
If Paula lives in Bankot then Paula lives in Maharashtra or If Paula lives in Bankot then Paula lives in India,3
If Paula lives in Bankot then Paula lives in India and If Paula lives in Maharashtra then Paula lives in India,4
If Paula lives in Bankot then Paula lives in Asia and If Paula lives in Maharashtra then Paula lives in Asia,4
If Paula lives in Bankot then Paula lives in India or If Paula lives in Maharashtra then Paula lives in India,5
If Paula lives in Bankot then Paula lives in Asia or If Paula lives in Maharashtra then Paula lives in Asia,5
If Charlie lives in Baramati then Charlie lives in Maharashtra,1
If Charlie lives in Baramati then Charlie lives in India,1
If Charlie lives in Baramati then Charlie lives in Asia,1
If Charlie lives in Maharashtra then Charlie lives in India,1
If Charlie lives in Maharashtra then Charlie lives in Asia,1
If Charlie lives in India then Charlie lives in Asia,1
If Charlie lives in Baramati then Charlie lives in Maharashtra and If Charlie lives in Baramati then Charlie lives in India,2
If Charlie lives in Baramati then Charlie lives in Maharashtra or If Charlie lives in Baramati then Charlie lives in India,3
If Charlie lives in Baramati then Charlie lives in India and If Charlie lives in Maharashtra then Charlie lives in India,4
If Charlie lives in Baramati then Charlie lives in Asia and If Charlie lives in Maharashtra then Charlie lives in Asia,4
If Charlie lives in Baramati then Charlie lives in India or If Charlie lives in Maharashtra then Charlie lives in India,5
If Charlie lives in Baramati then Charlie lives in Asia or If Charlie lives in Maharashtra then Charlie lives in Asia,5
If Rachel lives in Barsi then Rachel lives in Maharashtra,1
If Rachel lives in Barsi then Rachel lives in India,1
If Rachel lives in Barsi then Rachel lives in Asia,1
If Rachel lives in Maharashtra then Rachel lives in India,1
If Rachel lives in Maharashtra then Rachel lives in Asia,1
If Rachel lives in India then Rachel lives in Asia,1
If Rachel lives in Barsi then Rachel lives in Maharashtra and If Rachel lives in Barsi then Rachel lives in India,2
If Rachel lives in Barsi then Rachel lives in Maharashtra or If Rachel lives in Barsi then Rachel lives in India,3
If Rachel lives in Barsi then Rachel lives in India and If Rachel lives in Maharashtra then Rachel lives in India,4
If Rachel lives in Barsi then Rachel lives in Asia and If Rachel lives in Maharashtra then Rachel lives in Asia,4
If Rachel lives in Barsi then Rachel lives in India or If Rachel lives in Maharashtra then Rachel lives in India,5
If Rachel lives in Barsi then Rachel lives in Asia or If Rachel lives in Maharashtra then Rachel lives in Asia,5
If Zane lives in Basmat then Zane lives in Maharashtra,1
If Zane lives in Basmat then Zane lives in India,1
If Zane lives in Basmat then Zane lives in Asia,1
If Zane lives in Maharashtra then Zane lives in India,1
If Zane lives in Maharashtra then Zane lives in Asia,1
If Zane lives in India then Zane lives in Asia,1
If Zane lives in Basmat then Zane lives in Maharashtra and If Zane lives in Basmat then Zane lives in India,2
If Zane lives in Basmat then Zane lives in Maharashtra or If Zane lives in Basmat then Zane lives in India,3
If Zane lives in Basmat then Zane lives in India and If Zane lives in Maharashtra then Zane lives in India,4
If Zane lives in Basmat then Zane lives in Asia and If Zane lives in Maharashtra then Zane lives in Asia,4
If Zane lives in Basmat then Zane lives in India or If Zane lives in Maharashtra then Zane lives in India,5
If Zane lives in Basmat then Zane lives in Asia or If Zane lives in Maharashtra then Zane lives in Asia,5
If Umar lives in Bavdhan then Umar lives in Maharashtra,1
If Umar lives in Bavdhan then Umar lives in India,1
If Umar lives in Bavdhan then Umar lives in Asia,1
If Umar lives in Maharashtra then Umar lives in India,1
If Umar lives in Maharashtra then Umar lives in Asia,1
If Umar lives in India then Umar lives in Asia,1
If Umar lives in Bavdhan then Umar lives in Maharashtra and If Umar lives in Bavdhan then Umar lives in India,2
If Umar lives in Bavdhan then Umar lives in Maharashtra or If Umar lives in Bavdhan then Umar lives in India,3
If Umar lives in Bavdhan then Umar lives in India and If Umar lives in Maharashtra then Umar lives in India,4
If Umar lives in Bavdhan then Umar lives in Asia and If Umar lives in Maharashtra then Umar lives in Asia,4
If Umar lives in Bavdhan then Umar lives in India or If Umar lives in Maharashtra then Umar lives in India,5
If Umar lives in Bavdhan then Umar lives in Asia or If Umar lives in Maharashtra then Umar lives in Asia,5
If Zane lives in Bawanbir then Zane lives in Maharashtra,1
If Zane lives in Bawanbir then Zane lives in India,1
If Zane lives in Bawanbir then Zane lives in Asia,1
If Zane lives in Maharashtra then Zane lives in India,1
If Zane lives in Maharashtra then Zane lives in Asia,1
If Zane lives in India then Zane lives in Asia,1
If Zane lives in Bawanbir then Zane lives in Maharashtra and If Zane lives in Bawanbir then Zane lives in India,2
If Zane lives in Bawanbir then Zane lives in Maharashtra or If Zane lives in Bawanbir then Zane lives in India,3
If Zane lives in Bawanbir then Zane lives in India and If Zane lives in Maharashtra then Zane lives in India,4
If Zane lives in Bawanbir then Zane lives in Asia and If Zane lives in Maharashtra then Zane lives in Asia,4
If Zane lives in Bawanbir then Zane lives in India or If Zane lives in Maharashtra then Zane lives in India,5
If Zane lives in Bawanbir then Zane lives in Asia or If Zane lives in Maharashtra then Zane lives in Asia,5
If Rachel lives in Beed then Rachel lives in Maharashtra,1
If Rachel lives in Beed then Rachel lives in India,1
If Rachel lives in Beed then Rachel lives in Asia,1
If Rachel lives in Maharashtra then Rachel lives in India,1
If Rachel lives in Maharashtra then Rachel lives in Asia,1
If Rachel lives in India then Rachel lives in Asia,1
If Rachel lives in Beed then Rachel lives in Maharashtra and If Rachel lives in Beed then Rachel lives in India,2
If Rachel lives in Beed then Rachel lives in Maharashtra or If Rachel lives in Beed then Rachel lives in India,3
If Rachel lives in Beed then Rachel lives in India and If Rachel lives in Maharashtra then Rachel lives in India,4
If Rachel lives in Beed then Rachel lives in Asia and If Rachel lives in Maharashtra then Rachel lives in Asia,4
If Rachel lives in Beed then Rachel lives in India or If Rachel lives in Maharashtra then Rachel lives in India,5
If Rachel lives in Beed then Rachel lives in Asia or If Rachel lives in Maharashtra then Rachel lives in Asia,5
If Lily lives in Bhadgaon Maharashtra then Lily lives in Maharashtra,1
If Lily lives in Bhadgaon Maharashtra then Lily lives in India,1
If Lily lives in Bhadgaon Maharashtra then Lily lives in Asia,1
If Lily lives in Maharashtra then Lily lives in India,1
If Lily lives in Maharashtra then Lily lives in Asia,1
If Lily lives in India then Lily lives in Asia,1
If Lily lives in Bhadgaon Maharashtra then Lily lives in Maharashtra and If Lily lives in Bhadgaon Maharashtra then Lily lives in India,2
If Lily lives in Bhadgaon Maharashtra then Lily lives in Maharashtra or If Lily lives in Bhadgaon Maharashtra then Lily lives in India,3
If Lily lives in Bhadgaon Maharashtra then Lily lives in India and If Lily lives in Maharashtra then Lily lives in India,4
If Lily lives in Bhadgaon Maharashtra then Lily lives in Asia and If Lily lives in Maharashtra then Lily lives in Asia,4
If Lily lives in Bhadgaon Maharashtra then Lily lives in India or If Lily lives in Maharashtra then Lily lives in India,5
If Lily lives in Bhadgaon Maharashtra then Lily lives in Asia or If Lily lives in Maharashtra then Lily lives in Asia,5
If Tina lives in Bhandara then Tina lives in Maharashtra,1
If Tina lives in Bhandara then Tina lives in India,1
If Tina lives in Bhandara then Tina lives in Asia,1
If Tina lives in Maharashtra then Tina lives in India,1
If Tina lives in Maharashtra then Tina lives in Asia,1
If Tina lives in India then Tina lives in Asia,1
If Tina lives in Bhandara then Tina lives in Maharashtra and If Tina lives in Bhandara then Tina lives in India,2
If Tina lives in Bhandara then Tina lives in Maharashtra or If Tina lives in Bhandara then Tina lives in India,3
If Tina lives in Bhandara then Tina lives in India and If Tina lives in Maharashtra then Tina lives in India,4
If Tina lives in Bhandara then Tina lives in Asia and If Tina lives in Maharashtra then Tina lives in Asia,4
If Tina lives in Bhandara then Tina lives in India or If Tina lives in Maharashtra then Tina lives in India,5
If Tina lives in Bhandara then Tina lives in Asia or If Tina lives in Maharashtra then Tina lives in Asia,5
If Bob lives in Bhandardara then Bob lives in Maharashtra,1
If Bob lives in Bhandardara then Bob lives in India,1
If Bob lives in Bhandardara then Bob lives in Asia,1
If Bob lives in Maharashtra then Bob lives in India,1
If Bob lives in Maharashtra then Bob lives in Asia,1
If Bob lives in India then Bob lives in Asia,1
If Bob lives in Bhandardara then Bob lives in Maharashtra and If Bob lives in Bhandardara then Bob lives in India,2
If Bob lives in Bhandardara then Bob lives in Maharashtra or If Bob lives in Bhandardara then Bob lives in India,3
If Bob lives in Bhandardara then Bob lives in India and If Bob lives in Maharashtra then Bob lives in India,4
If Bob lives in Bhandardara then Bob lives in Asia and If Bob lives in Maharashtra then Bob lives in Asia,4
If Bob lives in Bhandardara then Bob lives in India or If Bob lives in Maharashtra then Bob lives in India,5
If Bob lives in Bhandardara then Bob lives in Asia or If Bob lives in Maharashtra then Bob lives in Asia,5
If Diana lives in Bhandup then Diana lives in Maharashtra,1
If Diana lives in Bhandup then Diana lives in India,1
If Diana lives in Bhandup then Diana lives in Asia,1
If Diana lives in Maharashtra then Diana lives in India,1
If Diana lives in Maharashtra then Diana lives in Asia,1
If Diana lives in India then Diana lives in Asia,1
If Diana lives in Bhandup then Diana lives in Maharashtra and If Diana lives in Bhandup then Diana lives in India,2
If Diana lives in Bhandup then Diana lives in Maharashtra or If Diana lives in Bhandup then Diana lives in India,3
If Diana lives in Bhandup then Diana lives in India and If Diana lives in Maharashtra then Diana lives in India,4
If Diana lives in Bhandup then Diana lives in Asia and If Diana lives in Maharashtra then Diana lives in Asia,4
If Diana lives in Bhandup then Diana lives in India or If Diana lives in Maharashtra then Diana lives in India,5
If Diana lives in Bhandup then Diana lives in Asia or If Diana lives in Maharashtra then Diana lives in Asia,5
If Julia lives in Bhayandar then Julia lives in Maharashtra,1
If Julia lives in Bhayandar then Julia lives in India,1
If Julia lives in Bhayandar then Julia lives in Asia,1
If Julia lives in Maharashtra then Julia lives in India,1
If Julia lives in Maharashtra then Julia lives in Asia,1
If Julia lives in India then Julia lives in Asia,1
If Julia lives in Bhayandar then Julia lives in Maharashtra and If Julia lives in Bhayandar then Julia lives in India,2
If Julia lives in Bhayandar then Julia lives in Maharashtra or If Julia lives in Bhayandar then Julia lives in India,3
If Julia lives in Bhayandar then Julia lives in India and If Julia lives in Maharashtra then Julia lives in India,4
If Julia lives in Bhayandar then Julia lives in Asia and If Julia lives in Maharashtra then Julia lives in Asia,4
If Julia lives in Bhayandar then Julia lives in India or If Julia lives in Maharashtra then Julia lives in India,5
If Julia lives in Bhayandar then Julia lives in Asia or If Julia lives in Maharashtra then Julia lives in Asia,5
If Alice lives in Bhigvan then Alice lives in Maharashtra,1
If Alice lives in Bhigvan then Alice lives in India,1
If Alice lives in Bhigvan then Alice lives in Asia,1
If Alice lives in Maharashtra then Alice lives in India,1
If Alice lives in Maharashtra then Alice lives in Asia,1
If Alice lives in India then Alice lives in Asia,1
If Alice lives in Bhigvan then Alice lives in Maharashtra and If Alice lives in Bhigvan then Alice lives in India,2
If Alice lives in Bhigvan then Alice lives in Maharashtra or If Alice lives in Bhigvan then Alice lives in India,3
If Alice lives in Bhigvan then Alice lives in India and If Alice lives in Maharashtra then Alice lives in India,4
If Alice lives in Bhigvan then Alice lives in Asia and If Alice lives in Maharashtra then Alice lives in Asia,4
If Alice lives in Bhigvan then Alice lives in India or If Alice lives in Maharashtra then Alice lives in India,5
If Alice lives in Bhigvan then Alice lives in Asia or If Alice lives in Maharashtra then Alice lives in Asia,5
If Steve lives in Bhiwandi then Steve lives in Maharashtra,1
If Steve lives in Bhiwandi then Steve lives in India,1
If Steve lives in Bhiwandi then Steve lives in Asia,1
If Steve lives in Maharashtra then Steve lives in India,1
If Steve lives in Maharashtra then Steve lives in Asia,1
If Steve lives in India then Steve lives in Asia,1
If Steve lives in Bhiwandi then Steve lives in Maharashtra and If Steve lives in Bhiwandi then Steve lives in India,2
If Steve lives in Bhiwandi then Steve lives in Maharashtra or If Steve lives in Bhiwandi then Steve lives in India,3
If Steve lives in Bhiwandi then Steve lives in India and If Steve lives in Maharashtra then Steve lives in India,4
If Steve lives in Bhiwandi then Steve lives in Asia and If Steve lives in Maharashtra then Steve lives in Asia,4
If Steve lives in Bhiwandi then Steve lives in India or If Steve lives in Maharashtra then Steve lives in India,5
If Steve lives in Bhiwandi then Steve lives in Asia or If Steve lives in Maharashtra then Steve lives in Asia,5
If Xena lives in Bhiwapur then Xena lives in Maharashtra,1
If Xena lives in Bhiwapur then Xena lives in India,1
If Xena lives in Bhiwapur then Xena lives in Asia,1
If Xena lives in Maharashtra then Xena lives in India,1
If Xena lives in Maharashtra then Xena lives in Asia,1
If Xena lives in India then Xena lives in Asia,1
If Xena lives in Bhiwapur then Xena lives in Maharashtra and If Xena lives in Bhiwapur then Xena lives in India,2
If Xena lives in Bhiwapur then Xena lives in Maharashtra or If Xena lives in Bhiwapur then Xena lives in India,3
If Xena lives in Bhiwapur then Xena lives in India and If Xena lives in Maharashtra then Xena lives in India,4
If Xena lives in Bhiwapur then Xena lives in Asia and If Xena lives in Maharashtra then Xena lives in Asia,4
If Xena lives in Bhiwapur then Xena lives in India or If Xena lives in Maharashtra then Xena lives in India,5
If Xena lives in Bhiwapur then Xena lives in Asia or If Xena lives in Maharashtra then Xena lives in Asia,5
If Xena lives in Bhokar then Xena lives in Maharashtra,1
If Xena lives in Bhokar then Xena lives in India,1
If Xena lives in Bhokar then Xena lives in Asia,1
If Xena lives in Maharashtra then Xena lives in India,1
If Xena lives in Maharashtra then Xena lives in Asia,1
If Xena lives in India then Xena lives in Asia,1
If Xena lives in Bhokar then Xena lives in Maharashtra and If Xena lives in Bhokar then Xena lives in India,2
If Xena lives in Bhokar then Xena lives in Maharashtra or If Xena lives in Bhokar then Xena lives in India,3
If Xena lives in Bhokar then Xena lives in India and If Xena lives in Maharashtra then Xena lives in India,4
If Xena lives in Bhokar then Xena lives in Asia and If Xena lives in Maharashtra then Xena lives in Asia,4
If Xena lives in Bhokar then Xena lives in India or If Xena lives in Maharashtra then Xena lives in India,5
If Xena lives in Bhokar then Xena lives in Asia or If Xena lives in Maharashtra then Xena lives in Asia,5
If Paula lives in Bhokardan then Paula lives in Maharashtra,1
If Paula lives in Bhokardan then Paula lives in India,1
If Paula lives in Bhokardan then Paula lives in Asia,1
If Paula lives in Maharashtra then Paula lives in India,1
If Paula lives in Maharashtra then Paula lives in Asia,1
If Paula lives in India then Paula lives in Asia,1
If Paula lives in Bhokardan then Paula lives in Maharashtra and If Paula lives in Bhokardan then Paula lives in India,2
If Paula lives in Bhokardan then Paula lives in Maharashtra or If Paula lives in Bhokardan then Paula lives in India,3
If Paula lives in Bhokardan then Paula lives in India and If Paula lives in Maharashtra then Paula lives in India,4
If Paula lives in Bhokardan then Paula lives in Asia and If Paula lives in Maharashtra then Paula lives in Asia,4
If Paula lives in Bhokardan then Paula lives in India or If Paula lives in Maharashtra then Paula lives in India,5
If Paula lives in Bhokardan then Paula lives in Asia or If Paula lives in Maharashtra then Paula lives in Asia,5
If Diana lives in Bhoom then Diana lives in Maharashtra,1
If Diana lives in Bhoom then Diana lives in India,1
If Diana lives in Bhoom then Diana lives in Asia,1
If Diana lives in Maharashtra then Diana lives in India,1
If Diana lives in Maharashtra then Diana lives in Asia,1
If Diana lives in India then Diana lives in Asia,1
If Diana lives in Bhoom then Diana lives in Maharashtra and If Diana lives in Bhoom then Diana lives in India,2
If Diana lives in Bhoom then Diana lives in Maharashtra or If Diana lives in Bhoom then Diana lives in India,3
If Diana lives in Bhoom then Diana lives in India and If Diana lives in Maharashtra then Diana lives in India,4
If Diana lives in Bhoom then Diana lives in Asia and If Diana lives in Maharashtra then Diana lives in Asia,4
If Diana lives in Bhoom then Diana lives in India or If Diana lives in Maharashtra then Diana lives in India,5
If Diana lives in Bhoom then Diana lives in Asia or If Diana lives in Maharashtra then Diana lives in Asia,5
If Hannah lives in Bhor then Hannah lives in Maharashtra,1
If Hannah lives in Bhor then Hannah lives in India,1
If Hannah lives in Bhor then Hannah lives in Asia,1
If Hannah lives in Maharashtra then Hannah lives in India,1
If Hannah lives in Maharashtra then Hannah lives in Asia,1
If Hannah lives in India then Hannah lives in Asia,1
If Hannah lives in Bhor then Hannah lives in Maharashtra and If Hannah lives in Bhor then Hannah lives in India,2
If Hannah lives in Bhor then Hannah lives in Maharashtra or If Hannah lives in Bhor then Hannah lives in India,3
If Hannah lives in Bhor then Hannah lives in India and If Hannah lives in Maharashtra then Hannah lives in India,4
If Hannah lives in Bhor then Hannah lives in Asia and If Hannah lives in Maharashtra then Hannah lives in Asia,4
If Hannah lives in Bhor then Hannah lives in India or If Hannah lives in Maharashtra then Hannah lives in India,5
If Hannah lives in Bhor then Hannah lives in Asia or If Hannah lives in Maharashtra then Hannah lives in Asia,5
If Walter lives in Bhudgaon then Walter lives in Maharashtra,1
If Walter lives in Bhudgaon then Walter lives in India,1
If Walter lives in Bhudgaon then Walter lives in Asia,1
If Walter lives in Maharashtra then Walter lives in India,1
If Walter lives in Maharashtra then Walter lives in Asia,1
If Walter lives in India then Walter lives in Asia,1
If Walter lives in Bhudgaon then Walter lives in Maharashtra and If Walter lives in Bhudgaon then Walter lives in India,2
If Walter lives in Bhudgaon then Walter lives in Maharashtra or If Walter lives in Bhudgaon then Walter lives in India,3
If Walter lives in Bhudgaon then Walter lives in India and If Walter lives in Maharashtra then Walter lives in India,4
If Walter lives in Bhudgaon then Walter lives in Asia and If Walter lives in Maharashtra then Walter lives in Asia,4
If Walter lives in Bhudgaon then Walter lives in India or If Walter lives in Maharashtra then Walter lives in India,5
If Walter lives in Bhudgaon then Walter lives in Asia or If Walter lives in Maharashtra then Walter lives in Asia,5
If Rachel lives in Bhugaon then Rachel lives in Maharashtra,1
If Rachel lives in Bhugaon then Rachel lives in India,1
If Rachel lives in Bhugaon then Rachel lives in Asia,1
If Rachel lives in Maharashtra then Rachel lives in India,1
If Rachel lives in Maharashtra then Rachel lives in Asia,1
If Rachel lives in India then Rachel lives in Asia,1
If Rachel lives in Bhugaon then Rachel lives in Maharashtra and If Rachel lives in Bhugaon then Rachel lives in India,2
If Rachel lives in Bhugaon then Rachel lives in Maharashtra or If Rachel lives in Bhugaon then Rachel lives in India,3
If Rachel lives in Bhugaon then Rachel lives in India and If Rachel lives in Maharashtra then Rachel lives in India,4
If Rachel lives in Bhugaon then Rachel lives in Asia and If Rachel lives in Maharashtra then Rachel lives in Asia,4
If Rachel lives in Bhugaon then Rachel lives in India or If Rachel lives in Maharashtra then Rachel lives in India,5
If Rachel lives in Bhugaon then Rachel lives in Asia or If Rachel lives in Maharashtra then Rachel lives in Asia,5
If Kevin lives in Bhusaval then Kevin lives in Maharashtra,1
If Kevin lives in Bhusaval then Kevin lives in India,1
If Kevin lives in Bhusaval then Kevin lives in Asia,1
If Kevin lives in Maharashtra then Kevin lives in India,1
If Kevin lives in Maharashtra then Kevin lives in Asia,1
If Kevin lives in India then Kevin lives in Asia,1
If Kevin lives in Bhusaval then Kevin lives in Maharashtra and If Kevin lives in Bhusaval then Kevin lives in India,2
If Kevin lives in Bhusaval then Kevin lives in Maharashtra or If Kevin lives in Bhusaval then Kevin lives in India,3
If Kevin lives in Bhusaval then Kevin lives in India and If Kevin lives in Maharashtra then Kevin lives in India,4
If Kevin lives in Bhusaval then Kevin lives in Asia and If Kevin lives in Maharashtra then Kevin lives in Asia,4
If Kevin lives in Bhusaval then Kevin lives in India or If Kevin lives in Maharashtra then Kevin lives in India,5
If Kevin lives in Bhusaval then Kevin lives in Asia or If Kevin lives in Maharashtra then Kevin lives in Asia,5
If Diana lives in Bijur then Diana lives in Maharashtra,1
If Diana lives in Bijur then Diana lives in India,1
If Diana lives in Bijur then Diana lives in Asia,1
If Diana lives in Maharashtra then Diana lives in India,1
If Diana lives in Maharashtra then Diana lives in Asia,1
If Diana lives in India then Diana lives in Asia,1
If Diana lives in Bijur then Diana lives in Maharashtra and If Diana lives in Bijur then Diana lives in India,2
If Diana lives in Bijur then Diana lives in Maharashtra or If Diana lives in Bijur then Diana lives in India,3
If Diana lives in Bijur then Diana lives in India and If Diana lives in Maharashtra then Diana lives in India,4
If Diana lives in Bijur then Diana lives in Asia and If Diana lives in Maharashtra then Diana lives in Asia,4
If Diana lives in Bijur then Diana lives in India or If Diana lives in Maharashtra then Diana lives in India,5
If Diana lives in Bijur then Diana lives in Asia or If Diana lives in Maharashtra then Diana lives in Asia,5
If George lives in Bilashi then George lives in Maharashtra,1
If George lives in Bilashi then George lives in India,1
If George lives in Bilashi then George lives in Asia,1
If George lives in Maharashtra then George lives in India,1
If George lives in Maharashtra then George lives in Asia,1
If George lives in India then George lives in Asia,1
If George lives in Bilashi then George lives in Maharashtra and If George lives in Bilashi then George lives in India,2
If George lives in Bilashi then George lives in Maharashtra or If George lives in Bilashi then George lives in India,3
If George lives in Bilashi then George lives in India and If George lives in Maharashtra then George lives in India,4
If George lives in Bilashi then George lives in Asia and If George lives in Maharashtra then George lives in Asia,4
If George lives in Bilashi then George lives in India or If George lives in Maharashtra then George lives in India,5
If George lives in Bilashi then George lives in Asia or If George lives in Maharashtra then George lives in Asia,5
If Hannah lives in Biloli then Hannah lives in Maharashtra,1
If Hannah lives in Biloli then Hannah lives in India,1
If Hannah lives in Biloli then Hannah lives in Asia,1
If Hannah lives in Maharashtra then Hannah lives in India,1
If Hannah lives in Maharashtra then Hannah lives in Asia,1
If Hannah lives in India then Hannah lives in Asia,1
If Hannah lives in Biloli then Hannah lives in Maharashtra and If Hannah lives in Biloli then Hannah lives in India,2
If Hannah lives in Biloli then Hannah lives in Maharashtra or If Hannah lives in Biloli then Hannah lives in India,3
If Hannah lives in Biloli then Hannah lives in India and If Hannah lives in Maharashtra then Hannah lives in India,4
If Hannah lives in Biloli then Hannah lives in Asia and If Hannah lives in Maharashtra then Hannah lives in Asia,4
If Hannah lives in Biloli then Hannah lives in India or If Hannah lives in Maharashtra then Hannah lives in India,5
If Hannah lives in Biloli then Hannah lives in Asia or If Hannah lives in Maharashtra then Hannah lives in Asia,5
If Paula lives in Boisar then Paula lives in Maharashtra,1
If Paula lives in Boisar then Paula lives in India,1
If Paula lives in Boisar then Paula lives in Asia,1
If Paula lives in Maharashtra then Paula lives in India,1
If Paula lives in Maharashtra then Paula lives in Asia,1
If Paula lives in India then Paula lives in Asia,1
If Paula lives in Boisar then Paula lives in Maharashtra and If Paula lives in Boisar then Paula lives in India,2
If Paula lives in Boisar then Paula lives in Maharashtra or If Paula lives in Boisar then Paula lives in India,3
If Paula lives in Boisar then Paula lives in India and If Paula lives in Maharashtra then Paula lives in India,4
If Paula lives in Boisar then Paula lives in Asia and If Paula lives in Maharashtra then Paula lives in Asia,4
If Paula lives in Boisar then Paula lives in India or If Paula lives in Maharashtra then Paula lives in India,5
If Paula lives in Boisar then Paula lives in Asia or If Paula lives in Maharashtra then Paula lives in Asia,5
If Kevin lives in Borgaon Manju then Kevin lives in Maharashtra,1
If Kevin lives in Borgaon Manju then Kevin lives in India,1
If Kevin lives in Borgaon Manju then Kevin lives in Asia,1
If Kevin lives in Maharashtra then Kevin lives in India,1
If Kevin lives in Maharashtra then Kevin lives in Asia,1
If Kevin lives in India then Kevin lives in Asia,1
If Kevin lives in Borgaon Manju then Kevin lives in Maharashtra and If Kevin lives in Borgaon Manju then Kevin lives in India,2
If Kevin lives in Borgaon Manju then Kevin lives in Maharashtra or If Kevin lives in Borgaon Manju then Kevin lives in India,3
If Kevin lives in Borgaon Manju then Kevin lives in India and If Kevin lives in Maharashtra then Kevin lives in India,4
If Kevin lives in Borgaon Manju then Kevin lives in Asia and If Kevin lives in Maharashtra then Kevin lives in Asia,4
If Kevin lives in Borgaon Manju then Kevin lives in India or If Kevin lives in Maharashtra then Kevin lives in India,5
If Kevin lives in Borgaon Manju then Kevin lives in Asia or If Kevin lives in Maharashtra then Kevin lives in Asia,5
If Vera lives in Borivali then Vera lives in Maharashtra,1
If Vera lives in Borivali then Vera lives in India,1
If Vera lives in Borivali then Vera lives in Asia,1
If Vera lives in Maharashtra then Vera lives in India,1
If Vera lives in Maharashtra then Vera lives in Asia,1
If Vera lives in India then Vera lives in Asia,1
If Vera lives in Borivali then Vera lives in Maharashtra and If Vera lives in Borivali then Vera lives in India,2
If Vera lives in Borivali then Vera lives in Maharashtra or If Vera lives in Borivali then Vera lives in India,3
If Vera lives in Borivali then Vera lives in India and If Vera lives in Maharashtra then Vera lives in India,4
If Vera lives in Borivali then Vera lives in Asia and If Vera lives in Maharashtra then Vera lives in Asia,4
If Vera lives in Borivali then Vera lives in India or If Vera lives in Maharashtra then Vera lives in India,5
If Vera lives in Borivali then Vera lives in Asia or If Vera lives in Maharashtra then Vera lives in Asia,5
If Xena lives in Brahmapuri then Xena lives in Maharashtra,1
If Xena lives in Brahmapuri then Xena lives in India,1
If Xena lives in Brahmapuri then Xena lives in Asia,1
If Xena lives in Maharashtra then Xena lives in India,1
If Xena lives in Maharashtra then Xena lives in Asia,1
If Xena lives in India then Xena lives in Asia,1
